Name,Slot,Element,BTH,Base Mult,Rand Mult,Stat Mult,Lean Mult,Rfire,Rwater,Rwind,Rice,Rearth,Renergy,Rlight,Rdark
Steel Plate,1,Any,0,1,1,1,1,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
King Reign,2,Any,12,5.31504,5.31504,10.14876,1,0.53,0.94,0.9,0.98,0.87,0.77,0.82,0.92
Void Vig,3,Any,11,4.55,4.55,8.5126,1,1,1,1,0.6,1,1,1,1
Morningstar,4,Any,13,5.19,5.19,9.91,1,0.93,0.93,0.93,0.93,0.53,0.93,0.93,0.77
Taladosian,5,Any,11,4.63001,4.63001,8.68001,1,0.82,0.92,0.82,0.92,0.92,0.53,0.82,0.82
Off Test,6,Any,13,5.15685,5.15685,9.9224,1.25,0.84,0.76,0.51,0.67,0.9,0.76,0.67,0.84
Ultimon,7,Any,13,5.19,5.19,9.9,1.25,0.82,0.82,0.82,0.82,0.82,0.82,0.53,0.53
Algern C,8,Dark,8,7.13,7.13,13.6,1,0.59,0.85,0.8,0.86,0.8,0.66,0.88,0.51
Waqaya,9,Any,12,4.96838,4.96838,9.434754,1.25,0.7,0.7,0.7,0.9,0.7,0.77,0.51,0.77
Shadow,10,Any,12,4.06,4.06,7.46,1,0.75,0.89,0.82,0.75,0.82,0.89,0.53,0.53
